block_start,block_end,average_distance
1,7,0.155123046875
2,8,0.1689306640625
3,9,0.23835546875
4,10,0.30464453125
5,11,0.1589619140625
6,12,0.1681953125
7,13,0.160830078125
8,14,0.104587890625
9,15,0.0679169921875
10,16,0.06875
11,17,0.037588623046875
12,18,0.042025634765625
13,19,0.0377099609375
14,20,0.00889947509765625
15,21,0.00741668701171875
16,22,0.00510430908203125
17,23,0.00473486328125
18,24,0.0149962158203125
19,25,0.00935577392578125
20,26,0.00672869873046875
21,27,0.01203997802734375
22,28,0.0235892333984375
23,29,0.031233642578125
24,30,0.039917724609375
25,31,0.042133056640625
26,32,0.043906982421875
27,33,0.04569775390625
28,34,0.04847119140625
29,35,0.0470283203125
30,36,0.0478427734375
31,37,0.05031787109375
32,38,0.04970458984375
33,39,0.04952880859375
34,40,0.048618408203125
35,41,0.045029541015625
36,42,0.0478173828125
37,43,0.0487705078125
38,44,0.04834326171875
39,45,0.049195556640625
40,46,0.05187744140625
41,47,0.04915771484375
42,48,0.45368359375
